name,district,zip,zone
Condesa,Cuauht‚moc,06140,Condesa
Cuauht‚moc,Cuauht‚moc,06500,Cuauht‚moc
Hip¢dromo,Cuauht‚moc,06100,Condesa
Hip¢dromo Condesa,Cuauht‚moc,06170,Condesa
Ju rez,Cuauht‚moc,06600,Ju rez
Roma Norte,Cuauht‚moc,06700,Roma
Roma Sur,Cuauht‚moc,06760,Roma
San Rafael,Cuauht‚moc,06470,San Rafael
Ampliaci¢n Granada,Miguel Hidalgo,11529,Polanco
Anzures,Miguel Hidalgo,11590,Anzurez
Escand¢n I Secci¢n,Miguel Hidalgo,11800,Escand¢n
Escand¢n II Secci¢n,Miguel Hidalgo,11800,Escand¢n
Granada,Miguel Hidalgo,11520,Polanco
Irrigaci¢n,Miguel Hidalgo,11500,Polanco
Polanco I Secci¢n,Miguel Hidalgo,11510,Polanco
Polanco II Secci¢n,Miguel Hidalgo,11530,Polanco
Polanco III Secci¢n,Miguel Hidalgo,11540,Polanco
Polanco IV Secci¢n,Miguel Hidalgo,11550,Polanco
Polanco V Secci¢n,Miguel Hidalgo,11560,Polanco
San Miguel Chapultepec I Secci¢n,Miguel Hidalgo,11850,San Miguel Chapultepec
San Miguel Chapultepec II Secci¢n,Miguel Hidalgo,11850,San Miguel Chapultepec
Acacias,Benito Ju rez,03240,Del Valle
Actipan,Benito Ju rez,03230,Del Valle
Ampliaci¢n Napoles,Benito Ju rez,03840,N poles
Ciudad de los Deportes,Benito Ju rez,03710,N poles
Cr‚dito Constructor,Benito Ju rez,03940,Florida
Del Valle Centro,Benito Ju rez,03100,Del Valle
Del Valle Norte,Benito Ju rez,03103,Del Valle
Del Valle Sur,Benito Ju rez,03104,Del Valle
Extremadura Insurgentes,Benito Ju rez,03740,Mixcoac
Insurgentes Mixcoac,Benito Ju rez,03920,Mixcoac
Insurgentes San Borja,Benito Ju rez,03100,Del Valle
Mixcoac,Benito Ju rez,03910,Mixcoac
N poles,Benito Ju rez,03810,N poles
Narvarte Oriente,Benito Ju rez,03023,Narvarte
Narvarte Poniente,Benito Ju rez,03020,Narvarte
Nochebuena,Benito Ju rez,03720,N poles
Piedad Narvarte,Benito Ju rez,03000,Narvarte
San Jos‚ Insurgentes,Benito Ju rez,03900,San Jos‚ Insurgentes
San Juan,Benito Ju rez,03730,Mixcoac
San Pedro de los Pinos,Benito Ju rez,03800,San Pedro de los Pinos
Tlacoquemecatl,Benito Ju rez,03200,Del Valle
